name,source_url,description,creator_name,creator_url,published_at,thumbnail_url,slug,provider,language,category,id,status
"MIT 18.404J Theory of Computation, Fall 2020",https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY,"Instructor: Michael Sipser
View the complete course: https://ocw.mit.edu/18-404JF20
YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP60_JNv2MmK3wkOt9syvfQWY

Professor Sipser introduced many important concepts in theory of computation and proved several theorems, such as Cook-Levin Theorem, Savitch’s Theorem, and Immerman-Szelepcsenyi theorem. These videos emphasize computability and computational complexity theory.

*There is no video for Lecture 13 as that was the day for the Midterm Exam.*

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu
Support OCW at http://ow.ly/a1If50zVRlQ

We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.",MIT OpenCourseWare,https://ocw.mit.edu/,2021-09-14T18:09:14Z,https://i.ytimg.com/vi/9syvZr-9xwk/maxresdefault.jpg,mit-18404j-theory-of-computation-fall-2020,youtube_playlist,en,,,
"MIT 15.S12 Blockchain and Money, Fall 2018",https://www.youtube.com/playlist?list=PLUl4u3cNGP63UUkfL0onkxF6MYgVa04Fn,"Instructor: Prof. Gary Gensler
View the complete course: https://ocw.mit.edu/15-S12F18

This course is for students wishing to explore blockchain technology’s potential use - by entrepreneurs & incumbents - to change the world of money and finance.

License: Creative Commons BY-NC-SA
More information at https://ocw.mit.edu/terms
More courses at https://ocw.mit.edu",MIT OpenCourseWare,https://ocw.mit.edu/,2019-10-03T20:04:07Z,https://i.ytimg.com/vi/EH6vE97qIP4/maxresdefault.jpg,mit-15s12-blockchain-and-money-fall-2018,youtube_playlist,en,,,
"MIT CMS.611J Creating Video Games, Fall 2014",https://www.youtube.com/playlist?list=PLUl4u3cNGP61V4W6yRm1Am5zI94m33dXk,"View the complete course: http://ocw.mit.edu/CMS-611JF14
Instructor: Philip Tan, Sara Verrilli, Rik Eberhardt, Andrew Grant

Creating Video Games teaches creative design and production methods, having students work together in small teams to design, develop, and thoroughly test their own original digital games.

License: Creative Commons BY-NC-SA
More information at http://ocw.mit.edu/terms
More courses at http://ocw.mit.edu",MIT OpenCourseWare,https://ocw.mit.edu/,2015-11-20T20:11:57Z,https://i.ytimg.com/vi/pfDfriSjFbY/maxresdefault.jpg,mit-cms611j-creating-video-games-fall-2014,youtube_playlist,en,,,
